,2020,2021,2022
revenue,93195000.0,166498000.0,704274000.0
net_income,33388000.0,69311000.0,244072000.0
eps_diluted,0.05,0.1,0.35
cash_and_equiv,10964000.0,186388000.0,322808000.0
long_term_debt,822272000.0,831114000.0,717859000.0
long_term_assets,1271474000.0,1225235000.0,1175451000.0
