,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022
cash_and_equiv,17672.0,355343,850364,114462,559729,87900,206925,249521,1385275,7312095
revenue,0.0,940008,2818729,3608998,3345217,2185743,3071612,1484235,1917848,4468279
net_income,0.0,-1948263,-4463051,-3841927,-6801714,-5657173,-3785014,-1602303,-2998644,-3345270
long_term_debt,0.0,514941,1442358,3814624,3273741,4002975,3425123,4536509,3764913,2293320
long_term_assets,0.0,320291,1418661,1630268,1093539,1023498,458141,260317,311608,300298
depreication,0.0,82842,255692,218229,221902,225531,191507,25695,15016,17801
