,2020,2021,2022
revenue,280625000.0,447584000.0,659929000.0
net_income,-43425000.0,49653000.0,94477000.0
cash_and_equiv,1027680000.0,688933000.0,451765000.0
long_term_assets,1328677000.0,1935572000.0,2369630000.0
depreication,62942000.0,92126000.0,124942000.0
eps_diluted,0.0,0.07,0.0
