,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-4525.0,-2488.0,-13458.0,-34705.0,-40044.0,-3788.0,-8471.0,-5396.0,-6096.0,-5894.0,-5419826.0,-93447.0,-375734.0,-1611812.0,-973740.0,-1179010.0,-563779.0,127174.0,-203697.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9442.0,4650.0,83785.0,56640.0,58323.0,22797.0,0.0,2590.0,22421.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6303.0,6303.0,0.0,814.0,342.0,1580676.0,3610379.0,4613300.0,5256137.0,3966777.0,6222632.0,4927616.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,0.0,0.0,0.0,25444.0,15690.0,30237.0,18124.0,0.0,0.0,0.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333816.0,47513.0,18124.0,362743.0,291288.0,214061.0,143855.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
