,2020,2021
revenue,82313000.0,134022000.0
net_income,-25289000.0,-182715000.0
eps_diluted,-0.5,-3.04
cash_and_equiv,28967000.0,42004000.0
long_term_debt,268222000.0,53631000.0
long_term_assets,26118000.0,95252000.0
