,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,247951.0,57380.0,73392.0,79996.0,500431.0,496772.0,6995.0,42003.0,48535.0,30078.0,94043.0,33528.0,139573.0
net_income,0.0,-1389454.0,-1596208.0,-2396634.0,-1398352.0,-732943.0,-4205399.0,-3468554.0,-2454914.0,10172395.0,-754644.0,-512265.0,-398450.0
long_term_debt,0.0,2653752.0,3848154.0,4464728.0,12899309.0,16903048.0,18270014.0,13462236.0,16343108.0,5346063.0,4063712.0,4623212.0,3550274.0
long_term_assets,0.0,2744905.0,2528691.0,2243580.0,8535023.0,9758542.0,8125524.0,954005.0,762248.0,728844.0,677022.0,628886.0,559053.0
depreication,0.0,0.0,0.0,0.0,308097.0,570110.0,241080.0,110285.0,82707.0,62634.0,55443.0,60063.0,49590.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482656.0,628652.0,742857.0,663512.0,404901.0,680107.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.19,-0.02,0.0,0.0
