,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,1771.0,3.0,4295.0,201.0,0.0,32.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,9900.0,0.0,0.0,0.0,0.0,0.0
net_income,0.0,-7072.0,-6839.0,-15363.0,-10228.0,-5855.0,-6092.0,-4192.0,-9659.0
long_term_assets,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
depreication,0.0,0.0,0.0,25170.0,5000.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
