,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
revenue,15715000000.0,16873000000.0,23754000000.0,3354000000.0,4300000000.0,19884000000.0,19328000000.0,17424000000.0,17507000000.0,11574000000.0,10261000000.0,12250000000.0,12758000000.0,11506000000.0,8765000000.0,18964000000.0,19123000000.0
net_income,1374000000.0,879000000.0,2112000000.0,-267000000.0,-249000000.0,-53000000.0,-124000000.0,-1645000000.0,102000000.0,-1642000000.0,-440000000.0,387000000.0,1115000000.0,-630000000.0,-1165000000.0,4174000000.0,2524000000.0
eps_diluted,11.18,7.4,17.96,-1.86,-1.74,-0.37,-0.86,-11.37,0.69,-11.24,-2.81,2.19,6.25,-3.67,-5.92,14.88,9.16
cash_and_equiv,1422000000.0,401000000.0,724000000.0,1218000000.0,578000000.0,408000000.0,570000000.0,604000000.0,1354000000.0,755000000.0,1515000000.0,1553000000.0,1000000000.0,749000000.0,1985000000.0,2522000000.0,3504000000.0
long_term_assets,5390000000.0,10673000000.0,10355000000.0,10407000000.0,10046000000.0,10299000000.0,9721000000.0,7065000000.0,6184000000.0,5250000000.0,4804000000.0,5107000000.0,6152000000.0,7795000000.0,7627000000.0,10664000000.0,11592000000.0
depreication,0.0,0.0,605000000.0,661000000.0,658000000.0,681000000.0,661000000.0,684000000.0,627000000.0,547000000.0,507000000.0,501000000.0,521000000.0,616000000.0,643000000.0,791000000.0,791000000.0
