,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-14760.0,-267599.0,-524224.0,-481609.0,-383021.0,-5371027.0,-7844326.0,-4683141.0,-5166240.0,-2483807.0,-5449138.0,-2239212.0,-11565961.0,-11810938.0,-14325484.0,-27471094.0,-39203719.0,-24906744.0,-16461178.0,-16414159.0,-19307000.0,-28291000.0,-38704000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58703.0,700374.0,10819781.0,25836937.0,27293798.0,67493047.0,13915094.0,8225764.0,11453133.0,10195292.0,130981000.0,11943000.0,16347000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197085.0,616823.0,1087015.0,1177095.0,3064583.0,5000219.0,2816254.0,1407231.0,1732817.0,1371000.0,3417000.0,4907000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10285.0,41842.0,130520.0,234813.0,378711.0,1069547.0,1247576.0,859487.0,494232.0,466000.0,451000.0,236000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,-0.05,-0.25,-0.26,-0.34,-0.06,-8.26,0.0,-1.08,-0.73,-0.89
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378325.0,244632.0,366000.0,359000.0,386000.0
