,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,312169000.0,296181000.0,276637000.0,175708000.0,144297000.0,162237000.0,202107000.0,289676000.0,187777000.0,189763000.0,204763000.0,184835000.0,160475000.0,117192000.0,304367000.0
revenue,0.0,444926000.0,408006000.0,395162000.0,393989000.0,418379000.0,501013000.0,587715000.0,481790000.0,529182000.0,529879000.0,597452000.0,644135000.0,546120000.0,860400000.0
net_income,0.0,28685000.0,19768000.0,-89496000.0,-49263000.0,-37462000.0,33527000.0,158217000.0,55783000.0,7612000.0,-99203000.0,15126000.0,24002000.0,-151401000.0,204234000.0
eps_diluted,0.0,0.77,0.5,-1.94,-0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-9.53,6.01
long_term_debt,0.0,0.0,217244000.0,1795375000.0,1701334000.0,1608570000.0,1745618000.0,1793137000.0,2147141000.0,2090792000.0,1849903000.0,1888496000.0,1882397000.0,1705283000.0,1779674000.0
long_term_assets,0.0,0.0,2334807000.0,2247704000.0,2226855000.0,2251358000.0,2409298000.0,2440940000.0,2919264000.0,3069243000.0,2887556000.0,2757089000.0,2790801000.0,2655152000.0,2795461000.0
depreication,0.0,0.0,0.0,0.0,0.0,100413000.0,102891000.0,105931000.0,113420000.0,139020000.0,146798000.0,139424000.0,137100000.0,143253000.0,140821000.0
