,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
net_income,2994000.0,1509000.0,462000.0,-816000.0,-3150000.0,182000.0,940000.0,21831000.0,29702000.0,2304000.0
eps_diluted,0.13,0.06,0.01,-0.03,-0.1,0.01,0.03,0.67,0.9,0.07
depreication,1247000.0,1821000.0,2837000.0,4698000.0,7330000.0,12594000.0,22083000.0,28520000.0,29225000.0,30810000.0
long_term_debt,0.0,31892000.0,28991000.0,35154000.0,51804000.0,82848000.0,108110000.0,95714000.0,115996000.0,118304000.0
long_term_assets,0.0,17598000.0,22230000.0,54721000.0,121276000.0,177107000.0,311858000.0,305267000.0,293029000.0,301557000.0
revenue,0.0,0.0,0.0,83729000.0,106701000.0,119768000.0,615624000.0,638783000.0,698584000.0,653307000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,2189000.0,46584000.0,77051000.0,45548000.0
