,2021,2022
net_income,-19253000.0,-66713000.0
eps_diluted,-0.56,-1.63
cash_and_equiv,40811000.0,31057000.0
long_term_debt,1778000.0,7524000.0
long_term_assets,23639000.0,38323000.0
depreication,31000.0,112000.0
