,2018,2019,2020,2021,2022
revenue,62000.0,1575000.0,-9364000.0,5466000.0,6026000.0
net_income,-56400000.0,-67301000.0,-81511000.0,-153559000.0,-126872000.0
cash_and_equiv,18555000.0,72792000.0,49950000.0,23640000.0,55718000.0
depreication,660000.0,1674000.0,2661000.0,3960000.0,7472000.0
long_term_assets,0.0,12064000.0,14646000.0,52791000.0,67880000.0
eps_diluted,0.0,0.0,-5.99,-1.54,-0.94
