,2016,2017,2018,2019,2020,2021,2022
net_income,-87699.0,-2746652,-8698000.0,-28594000,-11002000,-64364000,-17368000
cash_and_equiv,798198.0,391389,761000.0,3339000,2129000,5464000,1524000
long_term_debt,53809.0,165779,5446000.0,11595000,18185000,18006000,8468000
long_term_assets,75662.0,3752609,13310000.0,26229000,39752000,36397000,25540000
revenue,0.0,326041,0.0,2451000,13974000,20937000,16563000
depreication,0.0,126264,1363000.0,1228000,2366000,1895000,1612000
