,2021,2022
revenue,901.0,950.0
net_income,-144837.0,-4660985.0
eps_diluted,-0.53,-1.51
cash_and_equiv,0.0,0.0
long_term_assets,298487.0,363591.0
depreication,16000.0,16000.0
