,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,0.0,6990.0,10052.0,176905.0,264806.0,277264.0,531681.0,1845077.0,1390644,562711.0
revenue,0.0,1080.0,5700.0,5335501.0,13437569.0,10026920.0,10172379.0,24734759.0,12690633,7944171.0
net_income,0.0,161.0,-9714.0,-371802.0,-709396.0,-694329.0,-980617.0,-3590169.0,77998,1319657.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04
long_term_assets,0.0,3349.0,2281.0,1592865.0,1123543.0,1169434.0,2420736.0,10426602.0,7397932,18261640.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101014.0,157604,344896.0
