,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
net_income,-3466111.0,-6164266.0,-7857888.0,-1672665.0,-1321842.0,-2522015.0,-6763467.0,1841306.0,-3986830,-4393689,-24526886,-228730,-1979480
long_term_debt,1639458.0,5771077.0,4488061.0,6353569.0,7666602.0,2803115.0,9004422.0,2454896.0,3813739,6322880,6611452,3054377,3977489
long_term_assets,78527.0,7348257.0,51514.0,26160.0,12333.0,386.0,0.0,302169.0,532067,507944,473069,1114197,1077803
depreication,6741.0,4832.0,4994.0,5353.0,5005.0,1947.0,386.0,1851.0,30914,34663,34875,35877,36394
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,1030.0,54513.0,304173.0,55188,66830,330449,136867,10363
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
