,2021,2022
revenue,593899.0,1324304.0
net_income,-13498626.0,-11114179.0
eps_diluted,-1.43,-0.96
cash_and_equiv,3387200.0,792337.0
long_term_assets,1585762.0,1714745.0
depreication,6707.0,1647.0
