,2018,2019,2020,2021,2022
revenue,560600000.0,202100000.0,210900000,1367500000,1993600000
depreication,40400000.0,10500000.0,14800000,62200000,96500000
cash_and_equiv,0.0,3700000.0,927800000,1231500000,776500000
long_term_debt,0.0,786700000.0,1126900000,1922300000,2040800000
long_term_assets,0.0,677600000.0,745800000,889000000,1562300000
net_income,0.0,0.0,-12400000,-48200000,75100000
