,2017,2018,2019,2020,2021,2022
revenue,16949184.0,33560265.0,58662900,138496690.0,264488162.0,225365547.0
net_income,-7510049.0,-43207732.0,-6589431,0.0,0.0,0.0
depreication,342450.0,473730.0,752167,928414.0,1338968.0,2749144.0
eps_diluted,0.0,-0.09,0,0.01,0.01,0.0
cash_and_equiv,0.0,34406970.0,59408555,79652897.0,269057708.0,277660847.0
long_term_assets,0.0,12309386.0,39313915,40095364.0,50147129.0,58781521.0
