,2021,2022
revenue,2100770.0,6812446.0
net_income,-38779496.0,-123698513.0
eps_diluted,-0.35,-1.04
cash_and_equiv,221928008.0,134255538.0
long_term_assets,14553159.0,31093028.0
depreication,3483981.0,5822999.0
