,2021,2022
revenue,14292472.0,97110205.0
net_income,-19818513.0,-15820997.0
eps_diluted,-0.43,-0.3
cash_and_equiv,5241716.0,1875673.0
long_term_assets,29402753.0,39439675.0
depreication,34289.0,609489.0
