,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,10200000.0,14000000.0,6800000.0,99400000.0,240400000.0,95800000.0,72900000.0,160400000.0
revenue,0.0,1704000000.0,347500000.0,374400000.0,446900000.0,1935600000.0,2036400000.0,2242800000.0
net_income,0.0,123000000.0,23600000.0,27700000.0,21100000.0,106600000.0,69600000.0,245800000.0
eps_diluted,0.0,2.52,0.48,0.56,0.43,2.18,1.42,5.05
depreication,0.0,65600000.0,65700000.0,67600000.0,85800000.0,114500000.0,144300000.0,154100000.0
long_term_assets,0.0,0.0,1173700000.0,1504800000.0,1545300000.0,1981800000.0,2420200000.0,2483800000.0
