,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,139000000.0,159000000.0,140000000.0,390000000.0,658000000.0,756000000.0,496000000.0,450000000.0,415000000.0,582000000.0
revenue,0.0,6938000000.0,6662000000.0,6408000000.0,6022000000.0,5393000000.0,4467000000.0,4163000000.0,4140000000.0,3858000000.0
net_income,0.0,-81000000.0,-414000000.0,-983000000.0,181000000.0,-416000000.0,-1934000000.0,-118000000.0,-28000000.0,-182000000.0
eps_diluted,0.0,-0.4,-2.04,-4.85,0.83,-2.06,-9.29,-0.61,-0.18,-0.89
depreication,0.0,787000000.0,600000000.0,611000000.0,495000000.0,460000000.0,459000000.0,459000000.0,352000000.0,230000000.0
long_term_assets,0.0,0.0,7184000000.0,5792000000.0,4838000000.0,4716000000.0,2928000000.0,2679000000.0,2356000000.0,1946000000.0
