,2020,2021,2022
revenue,200000.0,7362000.0,6519000.0
net_income,-7437000.0,-137408000.0,-142000000.0
eps_diluted,-0.93,-11.48,-0.75
cash_and_equiv,18334000.0,190081000.0,45719000.0
long_term_assets,1187000.0,30265000.0,32798000.0
depreication,139000.0,562000.0,2587000.0
