,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-4148.0,-8746.0,-28206.0,4233254.0,2375632.0,-132017.0,-962278.0,-669726.0,92459
long_term_debt,0.0,4696.0,178564.0,6370334.0,12368888.0,8307768.0,7964362.0,8919405.0,7518051
revenue,0.0,0.0,33033.0,36860282.0,34878988.0,28393548.0,21019454.0,5042587.0,6031803
cash_and_equiv,0.0,0.0,38410.0,13226698.0,22737755.0,20198362.0,19370086.0,19282952.0,23879873
long_term_assets,0.0,0.0,0.0,4402986.0,3918144.0,2563940.0,3582355.0,3840954.0,1796278
eps_diluted,0.0,0.0,0.0,0.0,0.12,0.0,-0.03,-0.02,0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,786519.0,97811.0,84517
