,2022,2023
revenue,41984221.0,55399112.0
net_income,655026.0,-1639301.0
eps_diluted,-0.04,0.08
cash_and_equiv,898061.0,2569766.0
long_term_assets,17041935.0,26298225.0
depreication,437408.0,371696.0
