,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-137021.0,-151070.0,-222919.0,-251111.0,-256960.0,-408510.0,1725497,3534554
cash_and_equiv,45199.0,23081.0,22662.0,144.0,18870.0,1349363.0,252615,1422393
revenue,0.0,0.0,0.0,0.0,0.0,1070324.0,371887272,1014486680
long_term_assets,0.0,0.0,0.0,200000.0,200000.0,18787256.0,17052963,16368904
eps_diluted,0.0,0.0,0.0,0.0,0.0,-0.04,0,0
depreication,0.0,0.0,0.0,0.0,0.0,172295.0,765532,782351
