,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,0.0,-550.0,-27794.0,-21.345,0.0,-5000.0,0.0,-2104.0,-9345.0,-9044.0,-10124.0,-5905.0,-4823.0,-6262.0,-1440062.0,-1985493.0,-2139704.0,-1648641.0,-3921428.0,-1576311.0,-1365364.0,-2340280.0,-2133281.0,-2200201.0,1357951.0,24027.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,1318.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404165.0,1907882.0,1752630.0,2696481.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2620108.0,2381427.0,2535955.0,8253391.0,11460265.0,14016928.0
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67270.0,3629816.0,4675322.0,1854016.0,4262257.0,2960908.0,3026779.0,5064251.0,4778713.0,10844514.0,6463688.0,5557324.0,9347432.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79175.0,95368.0,82151.0,56480.0,32888.0,29068.0,25044.0,19415.0,114442.0,6878899.0,8277864.0,15050103.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40437.0,28420.0,26465.0,24312.0,11626.0,10687.0,11831.0,9039.0,7701.0,296935.0,413932.0,722197.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.44,0.01
