,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,10172841.0,6860827.0,10956664.0,10648000.0,10463000.0,8055000.0,4995000.0,2453000.0,20630000.0,25537000.0,16019000.0,0.0,1600000.0,1036000.0,3604000.0
net_income,0.0,6694308.0,-2774863.0,531891.0,-9533210.0,-52584000.0,-20218000.0,-6098000.0,-7884000.0,27950000.0,-19691000.0,-1144000.0,4612000.0,77573000.0,38791000.0
eps_diluted,0.0,0.22,-0.09,0.02,-0.31,-1.69,-0.65,-0.19,-0.24,0.77,-0.55,-0.03,0.13,2.07,1.05
long_term_debt,0.0,0.0,35254076.0,51091239.0,72586105.0,44905000.0,66996000.0,86046000.0,181842000.0,187713000.0,164027000.0,156439000.0,149257000.0,381532000.0,422315000.0
long_term_assets,0.0,0.0,240892305.0,238393753.0,167132894.0,164310000.0,193950000.0,206850000.0,182767000.0,258800000.0,232098000.0,199017000.0,173862000.0,224536000.0,272166000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,7441000.0,8066000.0,9182000.0,10174000.0,11780000.0,14075000.0,12671000.0,9852000.0,12576000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833537000.0,865048000.0,200907000.0,215096000.0,215606000.0,640679000.0,628218000.0
