,2021,2022
revenue,7005579.0,9478819.0
net_income,1245158.0,-35128083.0
cash_and_equiv,5495905.0,8390195.0
long_term_assets,1417078.0,89111684.0
depreication,1921.0,189274.0
eps_diluted,0.0,-1.85
