,2015,2016,2017,2018,2019,2020,2021,2022
revenue,110175.0,137522.0,36250.0,0.0,0.0,0.0,0.0,0.0
net_income,16398.0,-71911.0,-1102000.0,-1708000.0,-16578000.0,7642000.0,-3941000.0,-1813000.0
cash_and_equiv,18483.0,11000.0,744000.0,10000.0,2000.0,411000.0,866000.0,810000.0
long_term_assets,2514.0,838.0,14000.0,0.0,0.0,0.0,52000.0,249000.0
depreication,1257.0,1676.0,1000.0,40000.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.36
