,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,116132.0,6732601.0,4496588.0,1220380.0,1301124.0,6911592.0,4932048.0,1947142.0,645363.0
net_income,0.0,14119814.0,17278404.0,-55469673.0,-94812783.0,23526400.0,-1692654.0,0.0,0.0
eps_diluted,0.0,0.68,0.77,-3.2,-3.89,0.0,-0.07,0.01,-0.01
long_term_assets,0.0,152055341.0,88739009.0,0.0,96117.0,12645173.0,5112879.0,3553863.0,2379659.0
depreication,0.0,39415.0,37448.0,13228.0,22122.0,55498.0,951139.0,985845.0,920900.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146245.0,0.0
