,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,17521000.0,43495000.0,33125000.0,39284000.0,49794000.0,127674000.0,69587000.0,35202000.0,30437000.0
revenue,0.0,13944000.0,20551000.0,14873000.0,21271000.0,34361000.0,21808000.0,95369000.0,102821000.0
net_income,0.0,-50600000.0,-40054000.0,-28283000.0,-27113000.0,-21727000.0,-49493000.0,-199768000.0,-103427000.0
depreication,0.0,888000.0,2026000.0,3673000.0,3269000.0,3817000.0,4492000.0,5003000.0,4468000.0
long_term_assets,0.0,0.0,53967000.0,56655000.0,60276000.0,79006000.0,92368000.0,134053000.0,79126000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.44,-15.81
