,2020,2021,2022
revenue,138000.0,0.0,0.0
net_income,-37738000.0,-156794000.0,-223177000.0
eps_diluted,-2.36,-1.48,-1.72
cash_and_equiv,241714000.0,37590000.0,43716000.0
long_term_assets,72874000.0,145963000.0,212750000.0
depreication,256000.0,2752000.0,5987000.0
