,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-4879.0,-70555.0,-31521.0,-1351087.0,-2603217.0,-96822.0,-270607.0,-178907.0,-27162050.0,17354157.0,-3384158.0,-5626014.0,-15001798.0,2342299,-2839645.0,-4147141.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4143908,4725778.0,0.0
long_term_assets,0.0,0.0,0.0,24247.0,3121.0,2301.0,950160.0,2531098.0,1784442.0,1262570.0,907646.0,700900.0,480150.0,576906,629029.0,850554.0
cash_and_equiv,0.0,0.0,0.0,0.0,5226.0,2926.0,39833.0,178968.0,137639.0,194652.0,51802.0,50857.0,47996.0,34358,31282.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.61,0.35,-0.07,-0.11,-0.26,0,-0.02,-0.02
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390528.0,98243.0,141897.0,115929.0,38237.0,35718.0,8036,2789.0,725.0
