,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,64000.0,5072000.0,122000.0,7162000.0,2062000.0,10009000.0,2773000.0,58896000.0,41309000.0,35229000.0,19543000.0,1514000,4091000,2269000
revenue,0.0,20567000.0,972000.0,650000.0,1026000.0,193000.0,18000.0,124000.0,179000.0,144000.0,597000.0,558000,90000,77000
net_income,0.0,-17643000.0,6155000.0,-14025000.0,-14206000.0,-6546000.0,-7309000.0,-18744000.0,-8687000.0,-8700000.0,-7430000.0,-2642000,-3377000,-2393000
eps_diluted,0.0,-0.27,0.03,-0.07,-0.04,-0.01,-0.02,-0.03,-0.01,-0.01,-0.01,0,0,0
long_term_assets,0.0,1332000.0,1182000.0,1058000.0,1414000.0,1818000.0,1971000.0,1669000.0,12887000.0,12103000.0,16731000.0,21791000,16970000,14052000
depreication,0.0,171000.0,182000.0,186000.0,214000.0,301000.0,522000.0,527000.0,634000.0,1078000.0,1129000.0,402000,375000,344000
