,2019,2020,2021,2022
revenue,181284000.0,196943000.0,242860000.0,309364000.0
net_income,-101552000.0,-33707942.0,-250006000.0,-237950000.0
eps_diluted,-28.08,-28.96,-2.07,-1.08
depreication,12643000.0,15536000.0,15689000.0,12606000.0
cash_and_equiv,0.0,110719000.0,170039000.0,73695000.0
long_term_debt,0.0,197230000.0,202942000.0,373650000.0
long_term_assets,0.0,73267000.0,95460000.0,174739000.0
