,2017,2018,2019,2020,2021,2022
revenue,89200000.0,123200000.0,134500000.0,98800000.0,436100000.0,781600000.0
net_income,-1800000.0,-9900000.0,-69800000.0,-25100000.0,-93800000.0,-3100000.0
eps_diluted,-0.09,-0.49,-3.1,-1.09,-10.83,-0.27
depreication,36200000.0,33500000.0,41500000.0,64100000.0,53800000.0,56800000.0
long_term_debt,0.0,48000000.0,335200000.0,307800000.0,397500000.0,437800000.0
long_term_assets,0.0,187700000.0,364500000.0,394900000.0,223000000.0,211200000.0
cash_and_equiv,0.0,0.0,163800000.0,123500000.0,28000000.0,57400000.0
