,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,29562000.0,27843000.0,21442000.0,28854000.0,154000.0,5203000.0,27940000.0,27826000.0,149732000.0,147240000.0,172923000.0,240506000.0,173573000.0,31465000.0
eps_diluted,0.0,-0.07,0.09,0.27,0.19,0.23,0.3,0.55,0.65,0.61,0.52,0.89,1.78,0.45
depreication,0.0,20287000.0,20237000.0,19540000.0,18798000.0,19848000.0,29124000.0,32384000.0,33376000.0,32469000.0,29965000.0,32513000.0,42510000.0,49078000.0
long_term_debt,0.0,0.0,84322000.0,112635000.0,75763000.0,74307000.0,123607000.0,120861000.0,125175000.0,124799000.0,127497000.0,267891000.0,427450000.0,408194000.0
long_term_assets,0.0,0.0,157450000.0,149107000.0,157424000.0,175751000.0,341978000.0,336282000.0,295068000.0,297868000.0,303202000.0,395805000.0,676620000.0,746653000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173024000.0,1193625000.0,1151921000.0,1248623000.0,1489637000.0,2122245000.0,2207885000.0
net_income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44041000.0,40791000.0,34766000.0,58998000.0,118652000.0,29610000.0
