,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,248841000.0,282918000.0,201534000.0,220633000.0,319581000.0,220531000.0,0.0,0.0
revenue,0.0,661900000.0,696238000.0,774261000.0,808924000.0,1208971000.0,1210686000.0,4957839000.0
net_income,0.0,94781000.0,47858000.0,104930000.0,114501000.0,143623000.0,52261000.0,107030000.0
eps_diluted,0.0,1.11,0.56,1.23,1.33,1.42,0.52,1.07
depreication,0.0,188142000.0,178332000.0,225921000.0,197235000.0,219237000.0,553104000.0,552897000.0
long_term_debt,0.0,0.0,1714463000.0,1648423000.0,1654128000.0,2228460000.0,3867703000.0,3880499000.0
long_term_assets,0.0,0.0,4210677000.0,4019336000.0,4216831000.0,5362717000.0,9544597000.0,8810397000.0
