,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,2031544.0,532627.0,1594594,10863040,1458483,897281,1058138,457495,113895
revenue,0.0,17384373.0,32424269,25904393,29294869,17019356,8339215,3600078,6473673
net_income,0.0,2314345.0,4103521,5978390,4480618,-15097249,-12900608,-22073933,-15379658
depreication,0.0,1257220.0,1361260,1439476,1607441,832691,869725,875695,621805
long_term_debt,0.0,0.0,34358331,33963603,29260267,32515769,29294786,16756231,18825038
long_term_assets,0.0,0.0,41516544,47531365,52482970,45330997,44694563,17930906,16521032
