,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,225009818.0,172023856.0,91560337.0,25301745.0,28016039.0,7058986.0,5975455.0,20743802.0,611401.0,1549907.0,4973832.0,67228568.0,8418450.0
net_income,0.0,-45175477.0,-82503025.0,-86932219.0,-17357963.0,-59377267.0,-97461008.0,-26941900.0,-31574856.0,-25538677.0,60978298.0,-64531707.0,-141341275.0
long_term_assets,0.0,73122876.0,71865542.0,54283647.0,42142483.0,71140943.0,37858819.0,21517113.0,19151105.0,3877062.0,938880.0,40769383.0,29204947.0
depreication,0.0,0.0,0.0,0.0,0.0,1785107.0,1054000.0,814450.0,530908.0,0.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2544166.0,49053.0,95860.0,21321774.0,17237122.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,-0.2
