,2012,2013,2014,2015,2016,2020,2021,2022
revenue,8982.0,29738.0,244360.0,0.0,0.0,0.0,0.0,0.0
net_income,-28830.0,-232456.0,-588015.0,-701056.0,-16519.0,-280950.0,-370950.0,1137258.0
cash_and_equiv,14274.0,33060.0,16957.0,661.0,25.0,0.0,0.0,0.0
long_term_assets,20000.0,15667.0,0.0,0.0,0.0,0.0,0.0,0.0
depreication,0.0,4333.0,3611.0,0.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
