,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-321000.0,-1846000.0,-7454000.0,-18504000.0,-9812000.0,-15535000.0,-20093000.0,-24873000.0,-11573000.0,-20061000.0,-20166000.0,-25966000.0,-9936000.0,-11124000.0,-11124000.0,-3895000.0,959000.0,4597000.0,98330000.0,22008000.0,29381000.0,25994000.0,112512000.0,101418000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14716000.0,23867000.0,24578000.0,39635000.0,93032000.0,54877000.0,24248000.0,40435000.0,51536000.0,31062000.0,41625000.0,31269000.0,76190000.0,77617000.0,66329000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,6000.0,3000.0,27000.0,74000.0,141000.0,155000.0,87000.0,106000.0,236000.0,703000.0,525000.0,1072000.0,782000.0
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3860000.0,5026000.0,53359000.0,42060000.0,38018000.0,33439000.0,27374000.0,29569000.0,35573000.0,38841000.0,47494000.0,47541000.0,72491000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108000.0,58000.0,4104000.0,4766000.0,4400000.0,2922000.0,3064000.0,96352000.0,74874000.0,104954000.0,93230000.0,157293000.0,84177000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.07,0.77,0.18,0.24,0.2,0.89,0.87
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81321000.0,53280000.0,66831000.0,87895000.0,85735000.0,365978000.0,401858000.0
