,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,32391.0,994103.0,456502.0,2010325.0,901459.0,1173000.0,13460000.0,17938000.0,14591000.0
revenue,0.0,3377280.0,20371826.0,25743612.0,37841277.0,33030000.0,54891000.0,185177000.0,221781000.0
net_income,0.0,-2259114.0,-2061983.0,-6539566.0,-7177883.0,-9402000.0,-16152000.0,-13802000.0,-3743000.0
long_term_debt,0.0,6196829.0,12673215.0,11227755.0,15574391.0,18409139.0,65040000.0,106689000.0,93098000.0
long_term_assets,0.0,235160.0,11108770.0,10338593.0,11302529.0,10546000.0,78550000.0,92890000.0,84151000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,-0.39,-0.23,-0.07
