,2020,2021
revenue,12087000.0,59859000.0
net_income,-21617000.0,-32465000.0
eps_diluted,-5.32,-1.69
long_term_debt,27858000.0,43602000.0
long_term_assets,3199000.0,95312000.0
depreication,407000.0,1310000.0
