,2019,2020,2021,2022
revenue,241207000.0,270648000.0,336613000.0,372510000.0
net_income,22097000.0,32377000.0,55976000.0,60190000.0
eps_diluted,0.22,0.32,0.52,0.52
depreication,25070000.0,22755000.0,21343000.0,23427000.0
long_term_debt,0.0,177651000.0,171406000.0,165076000.0
long_term_assets,0.0,877878000.0,868716000.0,911992000.0
