,2021,2022
revenue,60292.0,60444.0
net_income,-4950290.0,-7068593.0
eps_diluted,-6.58,-1.23
cash_and_equiv,432530.0,1472806.0
long_term_assets,1157261.0,1213553.0
depreication,186388.0,143622.0
