,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-852600.0,-394115.0,-573454.0,-1068190.0,-611967.0,-1025773.0,-2349831.0,-1050064.0,-616906.0,-1546503.0,-2042778.0,-3814926.0,-24872000.0,1056000.0,-9380000.0,-7222000.0,-5740000.0,-9186000.0,-15939000.0,-26625000.0,-28211000.0
cash_and_equiv,7650.0,0.0,0.0,0.0,0.0,0.0,0.0,10002.0,3311.0,0.0,33637.0,10000.0,414000.0,12040000.0,11069000.0,6356000.0,3628000.0,3154000.0,38991000.0,19719000.0,7807000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8519.0,9006.0,4421.0,31895.0,2703000.0,12145000.0,13091000.0,12665000.0,10384000.0,11549000.0,6403000.0,47332000.0,45088000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1591.0,1610.0,1847.0,10000.0,51000.0,323000.0,410000.0,384000.0,353000.0,337000.0,3222000.0,3799000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20189555.0,53713000.0,86421000.0,77448000.0,70965000.0,59830000.0,37913000.0,101154000.0,161935000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,-2.15,0.05,-0.46,-0.32,-1.61,-2.07,0.0,0.0,0.0
