,2018,2019,2020,2021,2022
revenue,319041793.0,109060066.0,19004301.0,51450247.0,32328119.0
net_income,-12308494.0,-42403369.0,-32110924.0,2767821.0,-45757237.0
eps_diluted,-0.36,-0.38,-7.55,0.75,-7.03
depreication,4799350.0,8855750.0,7152958.0,6258055.0,10711543.0
cash_and_equiv,0.0,3464262.0,13669439.0,239872316.0,251294952.0
long_term_assets,0.0,53781944.0,75600166.0,87032026.0,75059724.0
