,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-63841.0,-345880.0,-2035988.0,-2583450.0,-5920092,-10190725.0,-8911540,-7322823,-5593302,-4152506,-1265000,-6219000
long_term_assets,36344.0,183306.0,354212.0,1077193.0,1322480,2167543.0,2387202,3038043,3097411,2515892,2052000,720000
depreication,741.0,2181.0,35376.0,84843.0,135494,208614.0,309117,511319,649847,593198,622000,503000
long_term_debt,0.0,0.0,791767.0,965283.0,2625873,916952.0,1271200,5686433,3298423,3243812,1495000,2572000
revenue,0.0,0.0,0.0,110085.0,211467,0.0,1997012,4235159,4306785,2567547,6700000,9162000
cash_and_equiv,0.0,0.0,0.0,0.0,1986004,9180947.0,1304916,1041569,999989,1816887,5533000,2808000
