,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-53338.0,-44904000.0,-14684000.0,-58652000.0,-86513000.0,-304084000.0,-88851000.0,-70609000.0,-194144000.0
cash_and_equiv,22667000.0,16619000.0,8361000.0,39000000.0,36206000.0,6198000.0,68221000.0,20775000.0,15073000.0
long_term_debt,240715.0,67420.0,1276810000.0,1670419000.0,1814985000.0,1900856000.0,1992695000.0,1841067000.0,1606882000.0
long_term_assets,184087.0,350155268.0,773415000.0,1367127000.0,1272000000.0,939399000.0,834486000.0,757132000.0,531416000.0
revenue,0.0,805232000.0,789926000.0,386289000.0,399643000.0,393586000.0,314109000.0,294312000.0,266951000.0
depreication,0.0,75408000.0,21176000.0,28112000.0,33684000.0,24421000.0,25826000.0,19037000.0,17889000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,-10.55,-1.82,-6.9,-1.41
