,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
net_income,-230900.0,-700000.0,-1809000.0,-2113000.0,-502600.0,-8755500.0,-1082800.0,-1772100.0,-1999800.0,-5446700.0,-4696200.0,-4124500.0,-4500000.0,-5335000.0,131000.0,-1090000.0,-2147000.0,-2638000.0,-3005000.0,-7217000.0,-5961000.0,-5298000.0,-10534000.0,-9761000.0,-12227000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201000.0,139300.0,81000.0,638100.0,0.0,70000.0,428500.0,2921300.0,10378300.0,13100300.0,1355100.0,103108300.0,68135300.0,16637600.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,200400.0,200400.0,16370200.0,0.0,1250000.0,0.0,0.0,0.0,314000.0,358000.0,180000.0,176000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,-0.85,-0.44,-1.08,-4.24,-29.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10825700.0,3182500.0,2414300.0,7263200.0,19609400.0,1853500.0,1367500.0,1458500.0,2800900.0,27713000.0,4189000.0,5765100.0,4567400.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118800.0,103500.0,209700.0,223200.0,164000.0,134500.0,334300.0,255200.0,382800.0,4192100.0,4163800.0,3645400.0,3581800.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45300.0,45600.0,33800.0,54600.0,59100.0,53500.0,54900.0,80700.0,91200.0,103100.0,117600.0,153500.0,129500.0
