,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-27487.0,-60100.0,-41245.0,-31996.0,-32146.0,-32146.0,-32146.0,-43841.0,360318.0,-13555.0,-11908.0,-22554.0,-36935.0,-479341.0,-3487757.0,-1136220.0,-3403106.0,-1763038.0,-359034.0,-1187620.0,-7897085.0,-12534414.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,8677.0,17517.0,155735.0,14466.0,0.0,66961.0,25323.0,11993.0,1107812.0,28567333.0,14620757.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408701.0,481521.0,1926405.0,346144.0,303750.0,116502.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,475.0,882.0,998.0,1290.0,1516.0,11438.0,26962.0,66876.0,486582.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7947.0,7589.0,50181.0,52591.0,192641.0,56533.0,227623.0,217388.0,2262094.0,14432023.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,-0.73
