,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
revenue,0.0,0.0,41945000.0,122211000.0,24142000.0,19991000.0,4077000.0,4024000.0,4127000,0.0,0.0,4965000.0
net_income,-46000.0,-46000.0,-397000.0,21923000.0,-8941000.0,-1663000.0,-1784000.0,-4290000.0,-1539000,39659000.0,-6004000.0,-15934000.0
eps_diluted,-0.02,-0.02,-0.17,7.92,-4.12,-1.09,-1.15,-2.69,-1,20.35,37.9,-5.64
cash_and_equiv,0.0,105014000.0,140000000.0,116782000.0,184544000.0,40584000.0,33349000.0,27171000.0,18906000,41623000.0,78349000.0,10727000.0
depreication,0.0,0.0,25000.0,1067000.0,7472000.0,0.0,302000.0,436000.0,392000,0.0,0.0,0.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,1974000.0,1910000.0,6097000,3138000.0,1290000.0,0.0
