,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,3921000.0,8237000.0,64315000.0,14584000.0,23906000.0,15045000.0,15859000.0
revenue,0.0,5870000.0,6257000.0,7199000.0,259000.0,22000.0,14000.0
net_income,0.0,-17765000.0,-30832000.0,-56957000.0,-36045000.0,-25070000.0,-26865000.0
long_term_assets,0.0,1227000.0,4802000.0,8081000.0,5818000.0,3955000.0,0.0
depreication,0.0,0.0,0.0,1750000.0,2365000.0,1565000.0,421000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,-248.22,-25.98
