,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,416124000.0,295644000.0,2056207000.0,498964000.0,1865913000.0,1543509000.0,1803669000.0,1713715000.0,1670312000.0,1446581000.0,1499995000.0,1526762000.0,2329604000.0,5101637000.0,4703059000.0,5911893000.0
revenue,0.0,7208767000.0,5978589000.0,1475302000.0,2296889000.0,2294511000.0,2513213000.0,0.0,0.0,9478269000.0,2597605000.0,3052862000.0,3185136000.0,5162082000.0,9680140000.0,13127485000.0
net_income,0.0,-855286000.0,-1291682000.0,-1437397000.0,3114637000.0,-1767691000.0,-56805000.0,-342263000.0,-781454000.0,24669000.0,1387413000.0,-23327000.0,2011577000.0,-1032724000.0,1254370000.0,1473093000.0
eps_diluted,0.0,-3.06,-3.41,-0.29,-0.23,-2.5,-0.12,-0.7,-1.38,0.04,2.39,-0.06,3.91,-2.02,2.41,3.49
depreication,0.0,778236000.0,689273000.0,633423000.0,817146000.0,927697000.0,849225000.0,815765000.0,819883000.0,849527000.0,993480000.0,1178044000.0,1304649000.0,1210556000.0,1150610000.0,3482050000.0
long_term_debt,0.0,0.0,15359638000.0,13293919000.0,15214931000.0,15514954000.0,15662558000.0,17458530000.0,14934704000.0,15281016000.0,16047391000.0,18080298000.0,14360327000.0,14233267000.0,16213061000.0,13235182000.0
long_term_assets,0.0,0.0,19464709000.0,17496203000.0,24953556000.0,23777646000.0,23365171000.0,23566754000.0,22806429000.0,25944813000.0,26783687000.0,27683928000.0,29868663000.0,30544275000.0,34482934000.0,37537514000.0
