,2020,2021,2022
revenue,0.0,20376000.0,233000.0
net_income,-169843000.0,-167808000.0,-152385000.0
cash_and_equiv,97246000.0,362266000.0,190613000.0
long_term_assets,12000000.0,39084000.0,18296000.0
depreication,24000.0,47000.0,168000.0
eps_diluted,0.0,-1.21,-0.98
