,2020,2021,2022
revenue,35160000.0,62237000.0,210996000.0
net_income,-12341951.0,-117320000.0,-135944000.0
eps_diluted,-0.73,-0.56,-0.29
cash_and_equiv,52792000.0,690959000.0,242515000.0
long_term_assets,94755000.0,206083000.0,326829000.0
depreication,9339000.0,10851000.0,29947000.0
