,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-625109.0,-1181157.0,-2775075.0,-3273442.0,-6349540.0,-6486003.0,-4442331.0,-3681801.0,-2903098.0,-14022107.0,-11344950.0,-6226670.0,-9499424.0,-2210118.0,-2852155.0,-525483.0,-3592463.0,-3116570.0,-6169000.0,-24620000.0,-56693000.0,17888000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369130.0,7298032.0,12340239.0,9861488.0,13486543.0,18688031.0,9826245.0,10199440.0,11578473.0,8899154.0,8744301.0,0.0,0.0,24534000.0,42634000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589000.0,39850000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41604.0,50659.0,45070.0,42386.0,37133.0,28325.0,27498.0,32916.0,42358.0,48211.0,40992.0,0.0,0.0,0.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544140.0,1526307.0,1143957.0,261302.0,103777.0,143685.0,119435.0,152245.0,143258.0,22000.0,14000.0,10000.0,6000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,-5.28,-3.82,0.87
