,2017,2018,2019,2020,2021,2022
revenue,2173000.0,17834000.0,22505000.0,18118000.0,118881000.0,407224000.0
net_income,-613000.0,-1798000.0,-1018000.0,-14860000.0,-31583000.0,-126188000.0
eps_diluted,-0.07,-0.16,0.0,-1.25,-2.15,-7.66
long_term_debt,6725000.0,42167000.0,46658000.0,147029000.0,1103388000.0,1275220000.0
long_term_assets,28056000.0,54421000.0,72062000.0,96721000.0,1150993000.0,1117602000.0
depreication,23000.0,358000.0,785000.0,1172000.0,8474000.0,27015000.0
