,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,21359000.0,15411000.0,20448000.0,25987000.0,23146000.0,11706000.0,26651000.0,18338000.0,10088000.0,16619000.0,18455000.0
net_income,0.0,2000000.0,2000000.0,400000.0,-34000000.0,5000000.0,7300000.0,1859000.0,9306000.0,18446000.0,96435000.0
eps_diluted,0.0,0.13,0.13,0.03,-2.17,0.32,0.48,0.12,0.59,1.17,6.2
long_term_debt,0.0,0.0,65226000.0,121245000.0,111706000.0,68874000.0,80631000.0,70044000.0,325085000.0,370177000.0,361039000.0
long_term_assets,0.0,0.0,154225000.0,237150000.0,251381000.0,213249000.0,201365000.0,224014000.0,660404000.0,695213000.0,720397000.0
depreication,0.0,0.0,10515000.0,11738000.0,13754000.0,14933000.0,13836000.0,14636000.0,22718000.0,36408000.0,34957000.0
revenue,0.0,0.0,0.0,0.0,69000000.0,77500000.0,83700000.0,89900000.0,136300000.0,173300000.0,757904000.0
