,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,34935000.0,36795000.0,69659000.0,271244000.0,181592000.0,315442000.0,366985000.0,443293000.0,1244099000.0,780196000.0,921278000.0
revenue,0.0,125022000.0,195591000.0,273499000.0,364967000.0,441231000.0,603693000.0,818379000.0,1725625000.0,2329114000.0,2566111000.0
net_income,0.0,-796000.0,-15243000.0,-54063000.0,-29901000.0,81800000.0,77491000.0,95894000.0,349246000.0,493507000.0,-694288000.0
depreication,0.0,12380000.0,17223000.0,18550000.0,22525000.0,27197000.0,26742000.0,48031000.0,58189000.0,74267000.0,96702000.0
long_term_assets,0.0,0.0,119142000.0,194007000.0,210161000.0,166319000.0,221562000.0,621314000.0,509708000.0,2490308000.0,1121218000.0
eps_diluted,0.0,0.0,0.0,-0.59,-0.26,0.68,0.61,0.76,2.69,3.4,-5.48
